name,about_the_space,price,saves,link,location
"Historic Landmarked Brooklyn Home. 6400 Sqft W/driveway, Wrap Around Yard, & More","Originally built in 1863 and located on Cambridge Place, a quiet, three-block-long, landmarked block. The scale rivals the mansions that made Clinton Hill famous. The house is on a double lot (50' x 100') with a driveway.
This airy space offers 4,600 interior square feet on three levels with an additional 1,800 square foot basement recreation room with generous natural light, totalling 6,400 square feet of production magic. 
At present, the house has had most of its interior walls removed. What remains is the imagination: What would one do with a double-height living room measuring 46' x 28', surrounded by 18 windows, connected to an open kitchen and half bath? On the mezzanine level is a huge room 24' x 28', with two large bedrooms and a full bath in addition. The top floor features a master bedroom suite 19' x 28' with vaulted ceilings, with a small child room. Finishing it all is a huge (25' x 27') south-facing terrace. 
This is a beautiful location for the right production looking for a dream home in the most exciting part of Brooklyn. BAM, a multitude of restaurant rows, transportation, and creative new businesses all surround you. 
Create and enjoy your own Brooklyn Paradise.",400,11,https://www.peerspace.com/pages/listings/592093327095140a00a974c1,"Clinton Hill, Kings County, NY"
White Multileveled Raw Space,"A brand-new rental space in Manhattan's Fashion District. Offering three versatile and beautifully designed spaces with an array of modern amenities, this venue is the perfect storefront venue for any event that deserves to be at the heart of the center of the world.

As a premier event rental space, we are staffed by responsive professionals that ensure the most positive experience to create a successful event. Our venue is the perfect customizable canvas for corporate events, pop up shops, fashion shows, product launches presentations, photo shoots, film projects and private parties. Spaces can be rented individually or altogether.

*Booking of this space is subject to additional fees depending on clients needs.",700,6,https://www.peerspace.com/pages/listings/56e727acb660181600dfa676,"Garment District, New York, NY"
Spacious Filming Studio/ Event Space For Rental,"Large, chill and professional studio space for rental. 
Space: 3000 sqft
People capacity: 120 maximum 
Great space for photoshoots, filming,and more. In addition to the green room, we offer a large living area that can be used for HMU and/or office space. There is an all purpose room available upon request that is great for storage. A kitchen with fridge, sink, oven, trashcan,utensils. 
Quiet neighborhood: Mott Haven Bar cross the street, Filtered coffee 3mins walk.
Close to the subway stations & Right next to the 3rd Ave Bridge.",135,13,https://www.peerspace.com/pages/listings/587fac402d443a1f00a167e8,"West Bronx, Bronx County, NY"
Speakeasy Piano Bar,"Our Private Speak Easy Piano Bar is the perfect place for your next photo shoot, film shoot, or any type of production! 

The décor is inspired by an early 19th century retreat, it is an ode to James Joyce, his peers and the cafe's / bars that helped fuel their collective works.


----- OPEN BAR PACKAGES -----

Tier 1
2 Hours ($45 Per Person) , 3 Hours ($60 Per Person) 
Select Import & Domestic Bottles and Drafts 
Premium Liquor 
( Excludes Shots, Single Malt Scotch, Remy Martin Brandy, & Premium Tequila)
Select Wines (Excludes Champagne) 
Soda, Juice, Tea, & Coffee
 
Tier 2
2 Hours ($40 Per Person) , 3 Hours ($50 Per Person) 
Select Import & Domestic Bottles and Drafts 
Mid Shelf Liquor ( Excludes Shots & Grey Goose) 
Select Wines (Excludes Champagne) 
Soda, Juice, Tea, & Coffee 

Tier 3
2 Hours ($35 Per Person) , 3 Hours ($40 Per Person)
Select Domestic Bottles and Drafts 
Well Liquor ( Excludes Shots)
Select Wines (Excludes Champagne)  
Soda & Juice

-----Passed Hors D’Oeuvres -----

$50 Per Platter or $15 per person per hour for
 continuous passed (serves 8-10)
 
(Choose any 5 items below for Each Platter)
 
-Goat Cheese Croquettes
 -Tuna Tartare, wonton cups
 -Tuna Bruschetta
 -Pork Belly Sliders
 -Lamb Sliders
 -Black Bean Empanadas
 -Curry Chicken Satays
 -Thai or Buffalo Style Wings
 -Chicken Dumplings 
 -Vegetable Spring Rolls
 -House made Herb Ricotta with sour dough -Brussels Sprout & BaconFlatbread
 -Wild Mushroom & ChirabogaBleu cheese Flatbread
 -Jambon Flatbread (greek feta,cured ham, sweet peppers)
 -Trufﬂe Tator Tots
 -Avocado Toast Bites
 -Chicken Quesadilla Spring Roll
 -Popcorn Chicken
 -Warm German Pretzels
 -Shrimp Dumplings 
Fromage & Charcuterie $55 
Meat and Cheese Selections
(Served with Crackers & Fresh Fruit ) 

-----Brunch Packages -----

6 Item Options for Parties of 15-20
5 Item Options for Parties of 20+
 
INCLUDE: 

1 cocktail for $24 Per Person
2 cocktails for $34 Per Person
3 cocktails for $44 Per Person 

Optional Open Brunch Platters $45 per Platter 

Open Bar Packages 

2 Hour Open Brunch Cocktails $30 Per Person
3 Hour Open Brunch Cocktails $40 Per Person

----- BUFFET MENU -----

Salads (choose 2)
Crumbled Goat Cheese
Toasted walnuts, pickled beets, ar ugula,frisee , lemon vinaigrette
Field Greens
Warm wild mushrooms, parmesan, toasted almonds, pomerganate vinaigrette
Country Be.lad
Radicchio, endive,apple, gorgonzola toasted  walnuts, apple cider vinaigrette
Classic Ceasar
Shaved reggiano & herb cruton

Hot Dishes (choose 3)
Chicken Rolle.ti nt
Stuffed with prosciutto, fresh mozzarella &! wild mushroom
Chicken Francaise
Lemon white wine sauce
Chicken Marse.le.
Wild mushrooms, marsala wine sauce

Seafood
Pan seered Atlantic Salmon Or New England Cod
Choice of
Almond crusted or sesame crusted
Choice of
Dill mustard sauce/ ginger soy beurre blanc Lemon p-epper butter sauce/ chilled tomato salsa
Pasta & Vegetarian
Wild mushroom raviolis
Or
Butternut squash raviolis
Choice of
Brandy cream sauce or alfredo sauce Bowtie pasta
Saute chicken, spinach, roasted peppers, English peas, vodka pink sauce Eggplant parmigiana
Marinara sauce &! fresh pesto
Meat
Braised beef brisket Natural au jus Shepherds pie
Topped with toasted mashed potato Beef stir-fry
Peppers, mushrooms, onions, roast garlic sauce
Accompaniments
Mixed seasonal vegetables
&! choice of Roasted potato or rice pilaf

If you choose any of the above 3 items $45 per person
To add a Steak carving station instead of 1 item above $60 per person
To add shrimp dish instead of 1 item above $55 per person",50,13,https://www.peerspace.com/pages/listings/5977afa8589cd27f01289e0f,"Midtown, New York, NY"
Spacious Williamsburg Photo/video Studio W/ Great Natural Light,"Big bright photo studio (best used for portraits, interviews, product shots or an office setting).

Features:
- Paper Seamless
- Full Length Mirror
- Wifi
- AC
- Speakers
- AppleTV
- Wardrobe Rack
- Hangers
- Office Chairs (6x), Folding Chairs (30x), High Top Stools (4x), Low Stools (5x)

** We also rent video equipment (lights, cameras, and crew). Inquire for rates and equipment list!**

**We have an edit suite available (Mac Pro, Adobe Creative Suite, Dual Monitor). Inquire for rates!**

The space has a client lounge with movie theater chairs (from Sunshine Cinema), a conference table for meetings or meals, a small kitchen, and a private bathroom.",65,5,https://www.peerspace.com/pages/listings/596fae9dd7cb2a2e011b8fca,"Williamsburg, Kings County, NY"
Bushwick Bright Spacious Studio With Unobstructed Views,"Our large, 1,000 sq ft, bright, multi-purpose studio features lots of natural light as well as professional photo equipment for production purposes. The space is perfect for photoshoots, workshops, yoga classes, or even film screenings. 

Equipment: 
- 1 Profoto D1 
     - 7 ft umbrella (white or black)
     - Octagon Softbox 70""
- Lowel GL-1 Light
- 2x c-stands

Additional features:
- Projector
- External 28"" 4k monitor
- Tripod
- Reflector
- Different color backdrops (black, fashion grey, white)
- Hair & makeup area
- Wardrobe racks w hangers 
- Tea/coffee and full kitchen 
- Wi-fi
- Freight elevator
- Pioneer DJ system with speakers
- Couch and coffee table, conference table, foldable chairs

More equipment is possible to rent on request for an extra charge.",60,19,https://www.peerspace.com/pages/listings/59303c3c96f7bb0b004ee045,"East Williamsburg, Kings County, NY"
Hip And Spacious New York Loft,"A 1000 SF beautiful loft space overlooking Manhattan.  It has bricked wall, 10 ft wood beamed ceiling, and hardwood floor loft. We have had a few very successful film shoots here utilizing the space for narrative, doc interview, and commercials. The place allows MULTIPLE ""Looks"" within the same space which is cost-effective. 
Space is just one stop off of 125th street and with plenty parking with avail SECURE PARKING close by. 

Is has: 
Home-Office 
Huge Living Room 
Gym 
Dinning Room 
Tiled bathroom 
Bright Kitchen with Washer-Dryer 
Bedroom with large hanging racks 

*See pictures for different uses of the space for various projects.",95,18,https://www.peerspace.com/pages/listings/5731bd71cee65c0900056a74,"Mott Haven, Bronx County, NY"
Authentic And Spacious Mexican Restaurant & Bar,"It doesn't get more authentic than this. 
If you need a table service restaurant for your shoot, including kitchen, outside seating, and back area - look no more. 

The place is huge and can fit 80 seated. Easy access and parking nearby. Possible Meal arrangement as well. 

Brick wall, high ceiling, easy to dress space and full service bar.",95,11,https://www.peerspace.com/pages/listings/576ae21e3a13b6090077382e,"Mott Haven, Bronx County, NY"
Trendy & Specious Private Clothing Store,"Beautiful large and trendy retail space. Brick wall, high ceiling, bright and quiet. 
",95,13,https://www.peerspace.com/pages/listings/573d0603867ecd0900d22b99,"Mott Haven, Bronx County, NY"
Groovy Elegant Urban Gallery Space & Roof Terrace,"The gallery is a parlor floor loft space located in NoMad in New York City. The building is on a famous alley that historically housed the city’s musicians, shops, and musical publishers in the early twentieth century. The space is Ideal for fashion shoots, art exhibitions, pop-up sales, readings, concerts or small parties.

In addition to the approximately 1,000 square foot gallery, there is a small private roof terrace (which can be accessed from the gallery). There is also one, private bathroom with a small sink. The gallery has a seating capacity of 60 people. *There is no kitchen in the space. 

Pricing Variations:
Non-Profit discount $85 per hour.",100,1,https://www.peerspace.com/pages/listings/598483fe4e3b47be01c931be,"Midtown, New York, NY"
Hells Kitchen Rooftop With Unmatched Iconic View,"The beautiful building that the Rooftop is located in was built in 1910.  It was originally a carriage house for horses.  The building has enormous 10'x20' freight elevator that was used to take the horses up and down through the floors.  

It takes you up to the 6th floor, where you walk one flight up to the roof.  It has an unmatched view and angle of the Empire State Building and The New Yorker.  

",350,31,https://www.peerspace.com/pages/listings/574a0f8bdf9a4a0900515821,"Hell's Kitchen, New York, NY"
Spacious South Light Loft With A Modern Touch,"The beautiful building that the loft is in was built in 1910.  It was originally a carriage house for horses.  The building's enormous 10'x20' freight elevator used to take the horses up and down through the floors.  The huge 10' elevator doors open up directly into the loft.   The loft has a generous 2000 square feet of space.  It has a full kitchen with large kitchen island for catering or food preparation.  The ceiling height is 11'.  Along with other amenities that were common in the early 1900's were the tin ceilings.  The ceilings are covered with the white painted tin and makes for an open and airy environment.

One of it's uses is as a photography studio, so it has racks for clothing, a steamer, a makeup station, and is fully equipped to host a wide range of photography shoots.

The furniture is all mid century modern based.  Wood and chrome run throughout the space along with accents of white.  Cocktail Parties, Art Gallery Shows, and Corporate meetings/events are welcome here.  

The loft is located on the edge of Hudson Yards and Hells Kitchen.  It is easily accessible to public transportation with the 7 train and the 8th Ave 34th st station are each only .2 miles away...about a 6-8 minute walk.   There are parking garages all around the building, so parking is always easy to find. 
",200,16,https://www.peerspace.com/pages/listings/5730c248cee65c090005679d,"Hell's Kitchen, New York, NY"
Spacious Unit With Backyard,"The space is located in the Bed-ford Styuvest section of Brooklyn. One block away from the C train Station. There is plenty of street parking.  In the past the unit has been used for meetings, workshops, small dinners, photo shoots and taping of television shows.

Included in rental:
Extra Folding Chairs and Long Tables can be provided at no cost
Full Kitchen Available for use
2 Full Bathrooms
Wi-Fi Available
3 bedrooms
Backyard Space
Storage Space",125,3,https://www.peerspace.com/pages/listings/58f23bd46191d20b0048318a,"Bedford-Stuyvesant, Kings County, NY"
Classic Open Space Artists Loft,"The Studio is a working Artists loft with 2400 sq. ft. open floor space.
the ceilings are 10 feet high, lighting is moveable on an overhead track system.
The loft is located in the heart of the Gallery / Highline district, close to transportation, restaurants , food shops and the new Hudson Yards development.
The space is a perfect location for film, photography, painting, and small theatrical events
It is available for Pop Ups, Trunk Shows, Demonstration events, Meetings and Lectures.
Seating and tables can be delivered locally.",200,5,https://www.peerspace.com/pages/listings/58c976677d6da6170093424b,"Midtown, New York, NY"
Amazing Warehouse In Dynamic Williamsburg,"This vast 5,000 sq ft warehouse space is located close to the recently opened William Vale Hotel. It is ideal for Private Events, Photoshoots and Creative Pop-Ups

The space has an open plan and is column-free, making it a flexible space able to host an array of event types. With concrete floors, brick walls and exposed piping and steel beams, the space has an industrial feel. There is a contemporary feel to the space and it is a blank canvas ideal for creative brands.

Located in the vibrant area of Williamsburg and one bloc from Kent Ave, this space is easily accessed and a great choice for unique events.",300,17,https://www.peerspace.com/pages/listings/58912fe279d81c0900bb0009,"Greenpoint, Kings County, NY"
Midtown Event Space W/ Bar And Staff,"With over 1800 sq ft, we are perfect for any event no matter how big or small. Our space comes fully equipped with a bar, (30) 2ft x 2ft tables & (60) wooden chairs, 3 LED TV screens, {Removable} in house ceiling color changing LED's, and Bar Lighting (additional in-house lighting is available as well).

Our space in in Prime Midtown West, located off 50th and 9th, Guests can easily access us from the C/E trains. There is free street parking after 10pm.",300,1,https://www.peerspace.com/pages/listings/58e4276c6191d20b0047f0a0,"Midtown, New York, NY"
Large Warehouse Studio For Rent In Long Island City,"3,000 + sq ft space
17 foot ceilings
Drive in access
100 + amps of power
Close proximity to the N, Q, M, R and E trains - 20 minutes from Times Square
Affordable rates for a space of this size
Client lounge with couch 
Natural light near the entrance via automatic garage door
All black walls except back wall (pictured)
Basic grip equipment
Wifi
 

PERFECT FOR:
Commercials
Music Video Production
Still Shoot
Rehearsal Space
Film Productions
Scenic Shop",250,6,https://www.peerspace.com/pages/listings/586c111e22e888090081ffdf,"Long Island City, Queens County, NY"
Stylish Lounge With Huge Beer Garden,"Our space provides a two-fold event space in trendy Greenpoint. The indoor lounge is a minimalist conversion of a huge warehouse. The backyard space is an enormous former parking lot now kitted out with tables, trees and flowers. We've served as the location for dozens of film shoots, music videos, holdings and wrap parties (e.g., Blue Bloods, Unbreakable Kimmy Schmidt, Entertainment Tonight, Smash, Louis CK).

We're food truck friendly and open to all sorts of props - past events have included photo booths, ice sculptures... event dunk tanks. 

We have a staging area for outside catering; we do require that caterers are full-service - responsible for all set up, service and breakdown.

Load in/out is simple - we're on the ground floor and have sizable roll-up garage doors in both the lounge and garden.

We're located a couple of blocks from the East River, easily accessible via subway (G), bus (B32, B62) and East River Ferry.

We are not allowed to have music in the garden (no exceptions, it's a community board rule) but can have a DJ or live music inside the lounge area.

You'll have a dedicated supervisor available throughout your event to answer any questions and ensure that your event goes smoothly.

PRICING

$300/hour during non-business hours (8 am - 4pm)
$500/hour during business hours (4pm and on)",500,5,https://www.peerspace.com/pages/listings/5762d7403a13b609007729b0,"Greenpoint, Kings County, NY"
Fully Stocked Chef's Kitchen And Loft For Photo/video Shoots,"Our space is an airy and bright 1600SF loft in downtown Manhattan perfect for photo/video shoots. We have east and south facing windows with plenty of natural light as well as a brick walls and wood floors. 

Our chef's kitchen is fully stocked with top of the line kitchenware (Le Creuset, All-Clad, Kitchenaid, Vitamix) Limonges porcelain china, glassware, silverware, napkins, decor, etc, all of which are included in the rental rate. Our spice pantry, props and cookbook library are also at your disposal. 

We are located in Little Italy within minutes of many subways, parking lots, restaurants, wine shops and speciality markets like Di Palo's and Hong Kong Market. Whole foods is just a 5 minute cab ride away. 

Please note that production rates are for photo/video shoots only and not for events that involve dining. Shoots with extensive cooking may require staffing. ",350,8,https://www.peerspace.com/pages/listings/56df69d15066e609001152ab,"Little Italy, New York, NY"
Gallery Event Space,"Our Gallery/Event space is available for for your next meeting, pop up, photo shoot or event. The space has white walls with black bars for hanging. Walls and floors are concrete. Lighting & photo shoot equipment is available for rent from CSI Rentals just a few blocks away. 

We are on the ground floor in the front with a large rolling gate for easy loading and unloading. Usable space is approximately 700 sq ft. Space also offers a 10' projection screen and Pyle projector and can easily fit 100 chairs in rows.",100,2,https://www.peerspace.com/pages/listings/58de84f56191d20b0047d5d1,"Bushwick, Kings County, NY"
Sleek Multidisciplinary Photo Studio With Euro Flavor,"Our studio is modern / industrial multifunctional workspace that integrates art, culture and innovation. It's a daylight photo studio by day and art hub, gallery space by night.  Our relaxed environment combined with traditional studio functionality caters to virtually any type of shoot or event.

Closest subway station - Graham Stop / L train. 

For in-house equipment rental + sub rentals please see below:

Items available for rental include:

LIGHTS & LIGHT MODIFIERS / RATE

1 Profoto Pro 7A 2400 Pack x 2 Profoto Heads kit $ 125
1 Profoto Pro 7 Head Extension / 16’ $ 20
2 Profoto Zoom Reflector $ 10
1 Profoto Honeycomb Grid & Grid filter / holder $ 10
1 Profoto Beauty Dish / white w. sock diffusion $ 30
2 Profoto Softbox 3 x 4 $ 15
3 Profoto Speed Ring $ 5
2 Westcott Large Bounce Umbrella $ 15
1 Bowens Medium Bounce Umbrella $ 15
2 Small Shoot through Umbrella / white $ 10
2 Matthews Floppy Flag 4 x 4 $ 12
1 Matthews Double Net Flag 24 x 36 $ 5
1 Westcott Scrim Jim 8 x 8 w. 1/2 & 3/4 silks $ 25
1 Westcott 50” 5- in -1 Reflector $ 12

GRIP / HARDWARE RATE:

2 Medium Roller $ 15
1 Junior Roller $ 10
1 Super Boom Arm $ 15
2 Counter Balance Weight / Pumpkin 10 Lbs / 15 Lbs $ 5
4 Super Clamp / Back $ 3
4 Super Clamp / Steel $ 3
7 J - Hook $ 2
13 A - Clamp / Medium $ 2
3 Big Ben $ 8
2 Magic Arm $ 3
1 Sekonic Light Meter $ 15
1 Pocket Wizard Set $ 15
1 Vanguard Tripod / Pistol grip ball head $ 15
4 AC Extension Cord, Stinger, 25’ $ 3
2 AC Extension Cord, Stinger, 50’ $ 3
3 APC Surge Protector / Power Strip $ 5
3 Tri Tap Power Adapter Free
Black and White 28” x 44” Showcard $ 10
Silver and White 28” x 44” Showcard $ 10
Duracel AA $ 1
Duracell 123 $ 5
2” x 60 yd Black or White Gaffer Tape $ 25
2” x 60 yd Black or White Paper Tape $ 20
Savage Seamless 9’ $ 55
Savage Seamless 12’ $ 160
",140,53,https://www.peerspace.com/pages/listings/55c4c010745f417801e61c39,"East Williamsburg, Kings County, NY"
Elegant Naturally Lit Nomad Loft,"Our space is a full-service rental photography and video studio, meeting and event space. Measuring 1500 square feet with 12 foot ceilings, we offer an open floor plan flooded with natural, soft, north-facing light and fabulous views of the Empire State building.
​
Equipped with a newly-renovated chef's kitchen, designer furniture, full bathroom, freight elevator, and WiFi connectivity. We offer all the amenities and services needed for a wide variety of photo/video shoots and events.

Our space features beautifully remodeled shoot-in kitchen features stainless steel appliances, a deep undermounted sink, caeserstone counters, a fully tiled backsplash, functional kitchen window, moveable butcher block prep table with cooktop and wrap-around cabinets.

Our studio is fully aware of the needs, wants, and demands of clients, photographers, and art directors alike. With an acute attention to detail and an understanding that things may not go according to plan, we offer prospective renters the environment, tools and skills to make every shoot successful.​​
﻿
Schedule a visit and see for yourself!

*Note: the space was recently renovated and is now double the size. More photos to come soon.",250,2,https://www.peerspace.com/pages/listings/57165c271d7bba0900f788d5,"NoMad, New York, NY"
Entire Studio For Rent. Vintage Decor. Rich Aesthetics And Props. Perfect For Film And Photo Shoots,"Our 1900 sq ft studio space (aka Mister Rogers) is a unique venue located in Crown Heights, Brooklyn. We have been hosting parties, community events, and photo/film productions over the last four years. We have hosted celebrities like James Franco, MacAuley Culkin, as well production clients like CNN, Forbes, ZZ Productions, among many others. 

Mister Rogers has a unique character of rich 70's future retro psychedelic decor, making it perfect for events with little decor needs.

We are not a white-walled studio space, empty of furniture and art. We cater to an individualistic and artistic aesthetic that may be just what you were looking for! 

Amenities include: 
A DJ or Ipad/iPhone ready QSC Sound System with Sub, 
Disco ball and Moving lights 
Kitchen with a Bar, Oven, and Fridge, 
2 Couches 
Dining Set
3 folding tables and 20 folding chairs.
A Security Guard
An Onsite Manager
Cleaning fee included
Coatrack with hangers
and many power outlest all over the space.",210,4,https://www.peerspace.com/pages/listings/584dcb777d05ad1600ce1f31,"Crown Heights, Kings County, NY"
"Upper East Side Private Space W/ Dance Floor, Dj, & Industrial Bar","From birthday parties to fundraisers to corporate events, our bar is the perfect place to host all of your special occasions. We can accommodate both small and large production events in our two-level bar and restaurant. 

You can book space in our main room, our private side-room, or our private upstairs lounge. We do not charge for use of our private spaces; however, we do require a minimum spend (varies depending on day/time of event). ***Our starting minimum is $1,000 for 3 hours.

We have three party packages to choose from. All packages last for three hours and are priced per person. But anything is possible! We can personalize parties to meet any of your needs.

Downstairs bar capacity: 200 people 
Back Bar capacity: about 50 people
Upstairs bar capacity: about 100 people",333,1,https://www.peerspace.com/pages/listings/596e7df8d7cb2a2e011b8851,"Upper East Side, New York, NY"
Exquisite Jewel Box Botanical Gallery - Nyc's Newest Luxury Venue,"Amongst the dazzling assemblage of the world’s most distinguished luxury brands, our Flagship Upper East Side Botanical Gallery boasts a seasonally changing window display that is certain to evoke a double-take. Spellbinding shapes and colors, sometimes whimsical and often evocative, come together to create fantastical renditions of various inspirations: elegantly monochromatic floral vistas, stunning holiday panoramics and fabulously stylized mannequins dressed with floral drapings.

A step inside the boutique is equally as enchanting. Black walls act as an ever-chic canvas to the mirage of colors on dramatic floral walls. No thought or expense was spared in creating a stunning atmosphere for your celebration. Ambience lighting compliments the textured materials of blackened steel, scorched wood paneling and smoked glass. A terrazzo seating area created by the same artists who created the MET’s fabled steps – the Botanical Gallery is a sight to behold and an experience to remember.

Be it for a niche client event, a sophisticated press launch, a cocktail party or an intimate dinner affair,the Botanical Gallery offers a truly singular immersive environment.

The Space includes dramatic floral walls, ambient lighting, a terrazzo seating area, and upscale finishes that include blackened steel, scorched wood paneling & smoked glass. A dedicated private entrance with the option of blackout shades for complete privacy is available. 

Additional services include customized floral arrangements & floral wall, floating candle terrazzo treatment, custom fragrance, a selection of gifts for your guests, and a signature floral class. 

The space is 900 square feet and capacities are 70 guests for a cocktail reception and 30 for a seated dinner. Dining tables and chairs are not included in the rental fee. 

Street parking is available on Madison Avenue. Between 9am – 7pm, it is metered parking for one hour at a time and costs $3.50 per hour. After 7pm, there is no charge to park on the street.
Closest garages are iPark (Imperial) at 11 E 83rd Street (between Madison Ave & 5th Ave) and GMC Vicmar Garage at 8 E 83rd Street (between Madison Ave & 5th Ave), even though it says “tenants only”, public parking is allowed. Rates average $50 for 3 hour period with additional surcharge for SUVs. 

Closest train is the 4,5,6 at 86th Street & Lexington or the Madison Ave/84th St Bus which has the BxM2 (Riverdale), BxM3 (Yonkers Getty Sq), BxM4 (Woodlawn), BxM11 (Wakefield) as well as 0028 White Plains – Express stops.",2000,0,https://www.peerspace.com/pages/listings/59936e0742c2b43302df7b6c,"Upper East Side, New York, NY"
Industrial Loft Apartment,"This is an empty studio apartment in a converted warehouse. There is a kitchen, bathroom and other than that just... empty space. Best used for film/photography or art studio.",35,0,https://www.peerspace.com/pages/listings/599238ec3b3ea02a020b1f0d,"Williamsburg, Kings County, NY"
"Culinary Events, Photo And Video Studio, Pop-ups And More","We have 5,000 SF of wide open space on two levels, including 2 spacious fully stocked kitchens, dishwashing and storage room, walk-in, photo studio with full complement of vintage cooking tools, serveware, linens and surfaces. Come shoot a cookbook, host a pop-up restaurant, have a fully catered party for 100 of your closest friends. 

Perfect for company offsite meetings with breakout spaces, completely configurable furnishings and rentals available.",150,5,https://www.peerspace.com/pages/listings/592dbbe396f7bb0b004eca57,"Williamsburg, Kings County, NY"
Brooklyn Loft At The Renovated Soda Factory Building,"Experience a real loft at the renovated Soda Factory building. Rustic 2 bedrooms/2 baths loft in a converted soda factory Building. Introducing the Soda Factory Lofts- truly authentic lofts in the cultural heart of Williamsburg. The loft is perfect for commercial photoshoots and meetings. It's been handled so far a lot of shoots for Nike, Samsung, Urban Outfitters and outside meetings for Etsy, Amazon, Google.",109,0,https://www.peerspace.com/pages/listings/599336e542c2b43302df76db,"Williamsburg, Kings County, NY"
Beautiful Couture Bridal Salon With Full Views Up And Down Fifth Avenue.,"Our family-owned space has three salons (two on Long Island and one in Manhattan). This city location is a stunningly beautiful (functioning) bridal salon with a spacious lobby and dress area, fitting rooms, and a red runway carpet lit by Austrian chandeliers.  A truly unique space that can host an event or be used as a filming location for television and film.",350,2,https://www.peerspace.com/pages/listings/58daf45b6191d20b0047be25,"Midtown, New York, NY"
Rooftop Lounge Event Space And Deck,"Rooftop Lounge: 1,800 sq. ft., 30' built in bar, (6) 60"" wall mounted plasmas & (1) 65"" wall mounted plasma.  Floor to ceiling windows providing natural light.

Rooftop Outdoor Deck: 1,400 sq. ft. with views of Manhattan skyline.

Full Bar

Kitchen Prep Area",900,0,https://www.peerspace.com/pages/listings/59946d0342c2b43302df7d95,"Long Island City, Queens County, NY"
Extraordinary Beautiful Loft In Heart Of Williamsburg,"This 3200 sq.ft beautiful gem is located on Driggs Ave. between 4th and 5th street. 
The apartment has
large kitchen,
2 bathrooms 
3 sitting/living room areas 
12ft. dining room table 
2 bedrooms. 
The apartment has a movie projector.",250,0,https://www.peerspace.com/pages/listings/59924d303b3ea02a020b2033,"Williamsburg, Kings County, NY"
Uptown Underground:  Harlem Event & Meeting Space,"From the deep cultural wellspring of the Harlem neighborhood descend into an evocative richly textured space: Uptown Underground.  The century old space has been stripped to its foundational elements.  Native granite schist stone walls intertwine with exposed brick,  Carnegie steel beams and a hand-trowled concrete floor.  Two massive rustic tables hand crafted from repurposed wooden beams salvaged from a 150 year old church center the space.  Morning sunlight pours through the exterior wrought iron fence through 8 large windows allowing abstract shadow shapes to seemingly dance upon surfaces. Dangling wire caged Edison filament bulbs give a warm glow.   Contemporary soft touches of drapery and furniture compliment the roughhewn bones of the space.

The ~ 1000 sq. foot space accommodates up to 25 people for meetings, meals and other gatherings. A second attached room of ~500 sq. feet is available for prep, storage etc. Basic kitchen prep area is available. High Definition video projection and audio capabilities available

Located three blocks from the 2/3 Express and B/C trains, a couple dozen feet from the M2 bus stop, the Up.Under is three blocks from Olmsted & Vaux's urban masterpieces Central and Morningside Parks. A block from 8th Avenue - Frederick Douglass Boulevard corridor - the south Harlem neighborhood is now dotted with cafes, restaurants and bars ranging from Marcus Samuelsson's Red Rooster & Streetbird to legendary Minton's Playhouse. 

",115,26,https://www.peerspace.com/pages/listings/573cdb48867ecd0900d22a7d,"Upper Manhattan, New York, NY"
Canal St. Production Studio,"Situated on the top floor of a Chinatown walk-up and flooded with natural light, the studio boasts two large skylights and 10 windows with unobstructed street views facing southeast. Perfect for photo and film productions, this space is available for rent between 7:00 am and 12:00 am, although personal exemptions may apply. Reserve far in advance of your desired date and time as prime bookings get snatched quickly.

Preference given to daily reservations.

The space is equipped with:
- 50 folding chairs
- 6 folding tables, 
- 2 free standing clothing racks + hangers
- Bathroom
- Kitchenette (no stove)
- 9' Seamless available in white and green upon request. ($10 per pull)
- 16' x 9' Projector screen (movie theatre quality) 
- Cannon wide-angle hi-res Projector
- PA Speaker

We have an experienced moving team on hand to assist with large load-ins. 


If you are interested in renting the space for a full day we offer a special rate $1000 for 8 hours.",150,38,https://www.peerspace.com/pages/listings/5831cb1b6d8c590900e620c0,"Lower Manhattan, New York, NY"
Transit Bus For Productions,"1999 Orion V Transit bus. Perfect for any type of photo shoot or film shoot. 

This bus still runs and drives. HVAC works. All of the interior lights work. There are two front interior lights that are blue as well. If interested, it can even be driven to your location. No need for you to travel!

Note: electricity (i.e. outlets & power supply) not provided. You must provide your own power supply.

The bus is parked on Staten Island near Port Richmond in a private gated lot. As stated above, we can drive to your location!",100,3,https://www.peerspace.com/pages/listings/597ffd805b1340a301f1d39d,"Boerum Hill, Kings County, NY"
